Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number	Characteristics[Variant]	Term Source REF	Term Accession Number	Characteristics[Sample type]	Term Source REF	Term Accession Number	Comment[BioSamples accession]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Factor Value[Animal ID]	Term Source REF	Term Accession Number	Factor Value[Treatment]	Term Source REF	Term Accession Number	Factor Value[Sampling time]	Unit	Term Source REF	Term Accession Number	Factor Value[Tank code]	Term Source REF	Term Accession Number
SA05.02C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952765			Sample collection	SA05_02	SAMEA112949260			Cougar (1.5%)			0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA05		
SA05.03C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952766			Sample collection	SA05_03	SAMEA112949591			Cougar (1.5%)			0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA05		
SA05.04C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952767			Sample collection	SA05_04	SAMEA112948588			Cougar (1.5%)			0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA05		
SA05.05C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952768			Sample collection	SA05_05	SAMEA112948556			Cougar (1.5%)			0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA05		
SA06.01C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952769			Sample collection	SA06_01	SAMEA112949481			Tiger (0%)			0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA06		
SA06.02C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952770			Sample collection	SA06_02	SAMEA112949385			Tiger (0%)			0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA06		
SA06.03C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952771			Sample collection	SA06_03	SAMEA112949756			Tiger (0%)			0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA06		
SA06.04C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952772			Sample collection	SA06_04	SAMEA112949795			Tiger (0%)			0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA06		
SA06.05C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952773			Sample collection	SA06_05	SAMEA112948631			Tiger (0%)			0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA06		
SA06.11C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952774			Sample collection	SA06_11	SAMEA112949696			Tiger (0%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA06		
SA06.12C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952775			Sample collection	SA06_12	SAMEA112949441			Tiger (0%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA06		
SA06.13C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952776			Sample collection	SA06_13	SAMEA112949500			Tiger (0%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA06		
SA06.14C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952777			Sample collection	SA06_14	SAMEA112948661			Tiger (0%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA06		
SA06.15C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952778			Sample collection	SA06_15	SAMEA112949931			Tiger (0%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA06		
SA06.16C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952779			Sample collection	SA06_16	SAMEA112949452			Tiger (0%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA06		
SA06.17C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952780			Sample collection	SA06_17	SAMEA112949214			Tiger (0%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA06		
SA06.18C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952781			Sample collection	SA06_18	SAMEA112949438			Tiger (0%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA06		
SA06.19C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952782			Sample collection	SA06_19	SAMEA112948716			Tiger (0%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA06		
SA06.20C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952783			Sample collection	SA06_20	SAMEA112948964			Tiger (0%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA06		
SA06.21C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952784			Sample collection	SA06_21	SAMEA112949270			Tiger (0%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA06		
SA06.22C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952785			Sample collection	SA06_22	SAMEA112949233			Tiger (0%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA06		
SA06.23C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952786			Sample collection	SA06_23	SAMEA112948499			Tiger (0%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA06		
SA06.24C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952787			Sample collection	SA06_24	SAMEA112949725			Tiger (0%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA06		
SA06.25C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952788			Sample collection	SA06_25	SAMEA112949077			Tiger (0%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA06		
SA06.26C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952789			Sample collection	SA06_26	SAMEA112948850			Tiger (0%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA06		
SA06.27C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952790			Sample collection	SA06_27	SAMEA112948516			Tiger (0%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA06		
SA06.28C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952791			Sample collection	SA06_28	SAMEA112948717			Tiger (0%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA06		
SA06.29C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952792			Sample collection	SA06_29	SAMEA112949943			Tiger (0%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA06		
SA06.30C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952793			Sample collection	SA06_30	SAMEA112949199			Tiger (0%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA06		
SA07.01C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952794			Sample collection	SA07_01	SAMEA112949877			Jaguar (2%)			0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA07		
SA07.02C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952795			Sample collection	SA07_02	SAMEA112949460			Jaguar (2%)			0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA07		
SA07.03C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952796			Sample collection	SA07_03	SAMEA112948925			Jaguar (2%)			0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA07		
SA07.04C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952797			Sample collection	SA07_04	SAMEA112948756			Jaguar (2%)			0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA07		
SA07.05C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952798			Sample collection	SA07_05	SAMEA112949142			Jaguar (2%)			0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA07		
SA07.11C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952799			Sample collection	SA07_11	SAMEA112949066			Jaguar (2%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA07		
SA07.12C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952800			Sample collection	SA07_12	SAMEA112948899			Jaguar (2%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA07		
SA07.13C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952801			Sample collection	SA07_13	SAMEA112949602			Jaguar (2%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA07		
SA07.14C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952802			Sample collection	SA07_14	SAMEA112949139			Jaguar (2%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA07		
SA07.15C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952803			Sample collection	SA07_15	SAMEA112949800			Jaguar (2%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA07		
SA07.16C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952804			Sample collection	SA07_16	SAMEA112949583			Jaguar (2%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA07		
SA07.17C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952805			Sample collection	SA07_17	SAMEA112949836			Jaguar (2%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA07		
SA07.18C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952806			Sample collection	SA07_18	SAMEA112948931			Jaguar (2%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA07		
SA07.19C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952807			Sample collection	SA07_19	SAMEA112949521			Jaguar (2%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA07		
SA07.20C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952808			Sample collection	SA07_20	SAMEA112949166			Jaguar (2%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA07		
SA07.21C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952809			Sample collection	SA07_21	SAMEA112949417			Jaguar (2%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA07		
SA07.22C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952810			Sample collection	SA07_22	SAMEA112949656			Jaguar (2%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA07		
SA07.23C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952811			Sample collection	SA07_23	SAMEA112949855			Jaguar (2%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA07		
SA07.24C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952812			Sample collection	SA07_24	SAMEA112948669			Jaguar (2%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA07		
SA07.25C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952813			Sample collection	SA07_25	SAMEA112949534			Jaguar (2%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA07		
SA07.26C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952814			Sample collection	SA07_26	SAMEA112948699			Jaguar (2%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA07		
SA07.27C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952815			Sample collection	SA07_27	SAMEA112949369			Jaguar (2%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA07		
SA07.28C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952816			Sample collection	SA07_28	SAMEA112949361			Jaguar (2%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA07		
SA07.29C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952817			Sample collection	SA07_29	SAMEA112948619			Jaguar (2%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA07		
SA07.30C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952818			Sample collection	SA07_30	SAMEA112949418			Jaguar (2%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA07		
SA08.01C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952819			Sample collection	SA08_01	SAMEA112948676			Lion (1%)			0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA08		
SA08.02C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952820			Sample collection	SA08_02	SAMEA112948887			Lion (1%)			0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA08		
SA08.03C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952821			Sample collection	SA08_03	SAMEA112949120			Lion (1%)			0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA08		
SA08.04C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952822			Sample collection	SA08_04	SAMEA112949577			Lion (1%)			0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA08		
SA08.05C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952823			Sample collection	SA08_05	SAMEA112948775			Lion (1%)			0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA08		
SA09.01C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952824			Sample collection	SA09_01	SAMEA112949430			Puma (0.5%)			0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA09		
SA09.02C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952825			Sample collection	SA09_02	SAMEA112948840			Puma (0.5%)			0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA09		
SA09.03C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952826			Sample collection	SA09_03	SAMEA112948540			Puma (0.5%)			0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA09		
SA09.04C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952827			Sample collection	SA09_04	SAMEA112948918			Puma (0.5%)			0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA09		
SA09.05C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952828			Sample collection	SA09_05	SAMEA112948874			Puma (0.5%)			0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA09		
SA10.01C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952829			Sample collection	SA10_01	SAMEA112949302			Jaguar (2%)			0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA10		
SA10.02C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952830			Sample collection	SA10_02	SAMEA112948706			Jaguar (2%)			0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA10		
SA10.03C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952831			Sample collection	SA10_03	SAMEA112948602			Jaguar (2%)			0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA10		
