Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number	Characteristics[Variant]	Term Source REF	Term Accession Number	Characteristics[Sample type]	Term Source REF	Term Accession Number	Comment[BioSamples accession]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Factor Value[Animal ID]	Term Source REF	Term Accession Number	Factor Value[Treatment]	Term Source REF	Term Accession Number	Factor Value[Sampling time]	Unit	Term Source REF	Term Accession Number	Factor Value[Tank code]	Term Source REF	Term Accession Number
SA01.20C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952718			Sample collection	SA01_20	SAMEA112949315			Tiger (0%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA01		
SA01.21C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952719			Sample collection	SA01_21	SAMEA112949038			Tiger (0%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA01		
SA01.22C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952720			Sample collection	SA01_22	SAMEA112949837			Tiger (0%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA01		
SA01.23C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952721			Sample collection	SA01_23	SAMEA112949796			Tiger (0%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA01		
SA01.24C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952722			Sample collection	SA01_24	SAMEA112949908			Tiger (0%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA01		
SA01.25C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952723			Sample collection	SA01_25	SAMEA112948694			Tiger (0%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA01		
SA01.26C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952724			Sample collection	SA01_26	SAMEA112949231			Tiger (0%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA01		
SA01.27C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952725			Sample collection	SA01_27	SAMEA112948573			Tiger (0%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA01		
SA01.28C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952726			Sample collection	SA01_28	SAMEA112949888			Tiger (0%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA01		
SA01.29C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952727			Sample collection	SA01_29	SAMEA112949052			Tiger (0%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA01		
SA01.30C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952728			Sample collection	SA01_30	SAMEA112949879			Tiger (0%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA01		
SA02.01C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952729			Sample collection	SA02_01	SAMEA112949095			Jaguar (2%)			0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA02		
SA02.02C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952730			Sample collection	SA02_02	SAMEA112949345			Jaguar (2%)			0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA02		
SA02.03C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952731			Sample collection	SA02_03	SAMEA112948997			Jaguar (2%)			0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA02		
SA02.04C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952732			Sample collection	SA02_04	SAMEA112949359			Jaguar (2%)			0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA02		
SA02.05C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952733			Sample collection	SA02_05	SAMEA112949885			Jaguar (2%)			0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA02		
SA02.11C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952734			Sample collection	SA02_11	SAMEA112949092			Jaguar (2%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA02		
SA02.12C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952735			Sample collection	SA02_12	SAMEA112948861			Jaguar (2%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA02		
SA02.13C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952736			Sample collection	SA02_13	SAMEA112949747			Jaguar (2%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA02		
SA02.14C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952737			Sample collection	SA02_14	SAMEA112949679			Jaguar (2%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA02		
SA02.15C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952738			Sample collection	SA02_15	SAMEA112948886			Jaguar (2%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA02		
SA02.16C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952739			Sample collection	SA02_16	SAMEA112949665			Jaguar (2%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA02		
SA02.17C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952740			Sample collection	SA02_17	SAMEA112949197			Jaguar (2%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA02		
SA02.18C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952741			Sample collection	SA02_18	SAMEA112948853			Jaguar (2%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA02		
SA02.19C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952742			Sample collection	SA02_19	SAMEA112949838			Jaguar (2%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA02		
SA02.20C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952743			Sample collection	SA02_20	SAMEA112949634			Jaguar (2%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA02		
SA02.21C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952744			Sample collection	SA02_21	SAMEA112948697			Jaguar (2%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA02		
SA02.22C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952745			Sample collection	SA02_22	SAMEA112949067			Jaguar (2%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA02		
SA02.23C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952746			Sample collection	SA02_23	SAMEA112948938			Jaguar (2%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA02		
SA02.24C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952747			Sample collection	SA02_24	SAMEA112949331			Jaguar (2%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA02		
SA02.25C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952748			Sample collection	SA02_25	SAMEA112948729			Jaguar (2%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA02		
SA02.26C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952749			Sample collection	SA02_26	SAMEA112949774			Jaguar (2%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA02		
SA02.27C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952750			Sample collection	SA02_27	SAMEA112949316			Jaguar (2%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA02		
SA02.28C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952751			Sample collection	SA02_28	SAMEA112949040			Jaguar (2%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA02		
SA02.29C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952752			Sample collection	SA02_29	SAMEA112949188			Jaguar (2%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA02		
SA02.30C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952753			Sample collection	SA02_30	SAMEA112948829			Jaguar (2%)			60	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA02		
SA03.01C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952754			Sample collection	SA03_01	SAMEA112949727			Lion (1%)			0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA03		
SA03.02C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952755			Sample collection	SA03_02	SAMEA112948505			Lion (1%)			0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA03		
SA03.03C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952756			Sample collection	SA03_03	SAMEA112948993			Lion (1%)			0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA03		
SA03.04C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952757			Sample collection	SA03_04	SAMEA112949729			Lion (1%)			0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA03		
SA03.05C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952758			Sample collection	SA03_05	SAMEA112948942			Lion (1%)			0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA03		
SA04.01C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952759			Sample collection	SA04_01	SAMEA112948559			Puma (0.5%)			0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA04		
SA04.02C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952760			Sample collection	SA04_02	SAMEA112949161			Puma (0.5%)			0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA04		
SA04.03C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952761			Sample collection	SA04_03	SAMEA112948864			Puma (0.5%)			0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA04		
SA04.04C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952762			Sample collection	SA04_04	SAMEA112949651			Puma (0.5%)			0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA04		
SA04.05C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952763			Sample collection	SA04_05	SAMEA112949835			Puma (0.5%)			0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA04		
SA05.01C2a_NTM	Salmo salar	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_8030	Intestinal Content	NCIT	http://purl.obolibrary.org/obo/NCIT_C189653				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	SAMEA112952764			Sample collection	SA05_01	SAMEA112949893			Cougar (1.5%)			0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	SA05		
