Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Autosampler model]	Parameter Value[Column model]	Parameter Value[Column type]	Parameter Value[Guard column]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
SA01_01	Extraction			SA01_01	Chromatography	Thermo Scientific Dionex UltiMate 3000 RSLCnano System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000860		"Acclaim PepMap RSLC C18 (3 µm, 0.075 mm x 150 mm; Thermo Scientific)"	reverse phase						Mass spectrometry	positive	200-1000	Thermo Scientific Q Exactive HF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000660	nanoelectrospray	MS	http://purl.obolibrary.org/obo/MS_1000398	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	SA01_01	FILES/RAW_FILES/HOLOFOOD_capLC_POS_SA01_01.raw	Data transformation	SA01_01	FILES/DERIVED_FILES/HOLOFOOD_capLC_POS_SA01_01.mzML	Metabolite identification	SA01_01	m_MTBLS4381_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
SA01_02	Extraction			SA01_02	Chromatography	Thermo Scientific Dionex UltiMate 3000 RSLCnano System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000860		"Acclaim PepMap RSLC C18 (3 µm, 0.075 mm x 150 mm; Thermo Scientific)"	reverse phase						Mass spectrometry	positive	200-1000	Thermo Scientific Q Exactive HF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000660	nanoelectrospray	MS	http://purl.obolibrary.org/obo/MS_1000398	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	SA01_02	FILES/RAW_FILES/HOLOFOOD_capLC_POS_SA01_02.raw	Data transformation	SA01_02	FILES/DERIVED_FILES/HOLOFOOD_capLC_POS_SA01_02.mzML	Metabolite identification	SA01_02	m_MTBLS4381_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
SA01_03	Extraction			SA01_03	Chromatography	Thermo Scientific Dionex UltiMate 3000 RSLCnano System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000860		"Acclaim PepMap RSLC C18 (3 µm, 0.075 mm x 150 mm; Thermo Scientific)"	reverse phase						Mass spectrometry	positive	200-1000	Thermo Scientific Q Exactive HF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000660	nanoelectrospray	MS	http://purl.obolibrary.org/obo/MS_1000398	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	SA01_03	FILES/RAW_FILES/HOLOFOOD_capLC_POS_SA01_03.raw	Data transformation	SA01_03	FILES/DERIVED_FILES/HOLOFOOD_capLC_POS_SA01_03.mzML	Metabolite identification	SA01_03	m_MTBLS4381_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
SA01_04	Extraction			SA01_04	Chromatography	Thermo Scientific Dionex UltiMate 3000 RSLCnano System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000860		"Acclaim PepMap RSLC C18 (3 µm, 0.075 mm x 150 mm; Thermo Scientific)"	reverse phase						Mass spectrometry	positive	200-1000	Thermo Scientific Q Exactive HF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000660	nanoelectrospray	MS	http://purl.obolibrary.org/obo/MS_1000398	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	SA01_04	FILES/RAW_FILES/HOLOFOOD_capLC_POS_SA01_04.raw	Data transformation	SA01_04	FILES/DERIVED_FILES/HOLOFOOD_capLC_POS_SA01_04.mzML	Metabolite identification	SA01_04	m_MTBLS4381_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
SA01_05	Extraction			SA01_05	Chromatography	Thermo Scientific Dionex UltiMate 3000 RSLCnano System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000860		"Acclaim PepMap RSLC C18 (3 µm, 0.075 mm x 150 mm; Thermo Scientific)"	reverse phase						Mass spectrometry	positive	200-1000	Thermo Scientific Q Exactive HF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000660	nanoelectrospray	MS	http://purl.obolibrary.org/obo/MS_1000398	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	SA01_05	FILES/RAW_FILES/HOLOFOOD_capLC_POS_SA01_05.raw	Data transformation	SA01_05	FILES/DERIVED_FILES/HOLOFOOD_capLC_POS_SA01_05.mzML	Metabolite identification	SA01_05	m_MTBLS4381_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
SA01_11	Extraction			SA01_11	Chromatography	Thermo Scientific Dionex UltiMate 3000 RSLCnano System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000860		"Acclaim PepMap RSLC C18 (3 µm, 0.075 mm x 150 mm; Thermo Scientific)"	reverse phase						Mass spectrometry	positive	200-1000	Thermo Scientific Q Exactive HF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000660	nanoelectrospray	MS	http://purl.obolibrary.org/obo/MS_1000398	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	SA01_11	FILES/RAW_FILES/HOLOFOOD_capLC_POS_SA01_11.raw	Data transformation	SA01_11	FILES/DERIVED_FILES/HOLOFOOD_capLC_POS_SA01_11.mzML	Metabolite identification	SA01_11	m_MTBLS4381_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
SA01_12	Extraction			SA01_12	Chromatography	Thermo Scientific Dionex UltiMate 3000 RSLCnano System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000860		"Acclaim PepMap RSLC C18 (3 µm, 0.075 mm x 150 mm; Thermo Scientific)"	reverse phase						Mass spectrometry	positive	200-1000	Thermo Scientific Q Exactive HF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000660	nanoelectrospray	MS	http://purl.obolibrary.org/obo/MS_1000398	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	SA01_12	FILES/RAW_FILES/HOLOFOOD_capLC_POS_SA01_12.raw	Data transformation	SA01_12	FILES/DERIVED_FILES/HOLOFOOD_capLC_POS_SA01_12.mzML	Metabolite identification	SA01_12	m_MTBLS4381_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
SA01_13	Extraction			SA01_13	Chromatography	Thermo Scientific Dionex UltiMate 3000 RSLCnano System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000860		"Acclaim PepMap RSLC C18 (3 µm, 0.075 mm x 150 mm; Thermo Scientific)"	reverse phase						Mass spectrometry	positive	200-1000	Thermo Scientific Q Exactive HF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000660	nanoelectrospray	MS	http://purl.obolibrary.org/obo/MS_1000398	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	SA01_13	FILES/RAW_FILES/HOLOFOOD_capLC_POS_SA01_13.raw	Data transformation	SA01_13	FILES/DERIVED_FILES/HOLOFOOD_capLC_POS_SA01_13.mzML	Metabolite identification	SA01_13	m_MTBLS4381_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
SA01_14	Extraction			SA01_14	Chromatography	Thermo Scientific Dionex UltiMate 3000 RSLCnano System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000860		"Acclaim PepMap RSLC C18 (3 µm, 0.075 mm x 150 mm; Thermo Scientific)"	reverse phase						Mass spectrometry	positive	200-1000	Thermo Scientific Q Exactive HF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000660	nanoelectrospray	MS	http://purl.obolibrary.org/obo/MS_1000398	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	SA01_14	FILES/RAW_FILES/HOLOFOOD_capLC_POS_SA01_14.raw	Data transformation	SA01_14	FILES/DERIVED_FILES/HOLOFOOD_capLC_POS_SA01_14.mzML	Metabolite identification	SA01_14	m_MTBLS4381_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
SA01_15	Extraction			SA01_15	Chromatography	Thermo Scientific Dionex UltiMate 3000 RSLCnano System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000860		"Acclaim PepMap RSLC C18 (3 µm, 0.075 mm x 150 mm; Thermo Scientific)"	reverse phase						Mass spectrometry	positive	200-1000	Thermo Scientific Q Exactive HF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000660	nanoelectrospray	MS	http://purl.obolibrary.org/obo/MS_1000398	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	SA01_15	FILES/RAW_FILES/HOLOFOOD_capLC_POS_SA01_15.raw	Data transformation	SA01_15	FILES/DERIVED_FILES/HOLOFOOD_capLC_POS_SA01_15.mzML	Metabolite identification	SA01_15	m_MTBLS4381_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
