Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Autosampler model]	Parameter Value[Column model]	Parameter Value[Column type]	Parameter Value[Guard column]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
SA01_16	Extraction			SA01_16	Chromatography	Thermo Scientific Dionex UltiMate 3000 RSLCnano System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000860		"Acclaim PepMap RSLC C18 (3 µm, 0.075 mm x 150 mm; Thermo Scientific)"	reverse phase						Mass spectrometry	positive	200-1000	Thermo Scientific Q Exactive HF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000660	nanoelectrospray	MS	http://purl.obolibrary.org/obo/MS_1000398	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	SA01_16	FILES/RAW_FILES/HOLOFOOD_capLC_POS_SA01_16.raw	Data transformation	SA01_16	FILES/DERIVED_FILES/HOLOFOOD_capLC_POS_SA01_16.mzML	Metabolite identification	SA01_16	m_MTBLS4381_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
SA01_17	Extraction			SA01_17	Chromatography	Thermo Scientific Dionex UltiMate 3000 RSLCnano System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000860		"Acclaim PepMap RSLC C18 (3 µm, 0.075 mm x 150 mm; Thermo Scientific)"	reverse phase						Mass spectrometry	positive	200-1000	Thermo Scientific Q Exactive HF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000660	nanoelectrospray	MS	http://purl.obolibrary.org/obo/MS_1000398	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	SA01_17	FILES/RAW_FILES/HOLOFOOD_capLC_POS_SA01_17.raw	Data transformation	SA01_17	FILES/DERIVED_FILES/HOLOFOOD_capLC_POS_SA01_17.mzML	Metabolite identification	SA01_17	m_MTBLS4381_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
SA01_18	Extraction			SA01_18	Chromatography	Thermo Scientific Dionex UltiMate 3000 RSLCnano System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000860		"Acclaim PepMap RSLC C18 (3 µm, 0.075 mm x 150 mm; Thermo Scientific)"	reverse phase						Mass spectrometry	positive	200-1000	Thermo Scientific Q Exactive HF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000660	nanoelectrospray	MS	http://purl.obolibrary.org/obo/MS_1000398	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	SA01_18	FILES/RAW_FILES/HOLOFOOD_capLC_POS_SA01_18.raw	Data transformation	SA01_18	FILES/DERIVED_FILES/HOLOFOOD_capLC_POS_SA01_18.mzML	Metabolite identification	SA01_18	m_MTBLS4381_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
SA01_19	Extraction			SA01_19	Chromatography	Thermo Scientific Dionex UltiMate 3000 RSLCnano System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000860		"Acclaim PepMap RSLC C18 (3 µm, 0.075 mm x 150 mm; Thermo Scientific)"	reverse phase						Mass spectrometry	positive	200-1000	Thermo Scientific Q Exactive HF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000660	nanoelectrospray	MS	http://purl.obolibrary.org/obo/MS_1000398	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	SA01_19	FILES/RAW_FILES/HOLOFOOD_capLC_POS_SA01_19.raw	Data transformation	SA01_19	FILES/DERIVED_FILES/HOLOFOOD_capLC_POS_SA01_19.mzML	Metabolite identification	SA01_19	m_MTBLS4381_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
SA01_20	Extraction			SA01_20	Chromatography	Thermo Scientific Dionex UltiMate 3000 RSLCnano System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000860		"Acclaim PepMap RSLC C18 (3 µm, 0.075 mm x 150 mm; Thermo Scientific)"	reverse phase						Mass spectrometry	positive	200-1000	Thermo Scientific Q Exactive HF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000660	nanoelectrospray	MS	http://purl.obolibrary.org/obo/MS_1000398	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	SA01_20	FILES/RAW_FILES/HOLOFOOD_capLC_POS_SA01_20.raw	Data transformation	SA01_20	FILES/DERIVED_FILES/HOLOFOOD_capLC_POS_SA01_20.mzML	Metabolite identification	SA01_20	m_MTBLS4381_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
SA01_21	Extraction			SA01_21	Chromatography	Thermo Scientific Dionex UltiMate 3000 RSLCnano System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000860		"Acclaim PepMap RSLC C18 (3 µm, 0.075 mm x 150 mm; Thermo Scientific)"	reverse phase						Mass spectrometry	positive	200-1000	Thermo Scientific Q Exactive HF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000660	nanoelectrospray	MS	http://purl.obolibrary.org/obo/MS_1000398	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	SA01_21	FILES/RAW_FILES/HOLOFOOD_capLC_POS_SA01_21.raw	Data transformation	SA01_21	FILES/DERIVED_FILES/HOLOFOOD_capLC_POS_SA01_21.mzML	Metabolite identification	SA01_21	m_MTBLS4381_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
SA01_22	Extraction			SA01_22	Chromatography	Thermo Scientific Dionex UltiMate 3000 RSLCnano System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000860		"Acclaim PepMap RSLC C18 (3 µm, 0.075 mm x 150 mm; Thermo Scientific)"	reverse phase						Mass spectrometry	positive	200-1000	Thermo Scientific Q Exactive HF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000660	nanoelectrospray	MS	http://purl.obolibrary.org/obo/MS_1000398	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	SA01_22	FILES/RAW_FILES/HOLOFOOD_capLC_POS_SA01_22.raw	Data transformation	SA01_22	FILES/DERIVED_FILES/HOLOFOOD_capLC_POS_SA01_22.mzML	Metabolite identification	SA01_22	m_MTBLS4381_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
SA01_23	Extraction			SA01_23	Chromatography	Thermo Scientific Dionex UltiMate 3000 RSLCnano System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000860		"Acclaim PepMap RSLC C18 (3 µm, 0.075 mm x 150 mm; Thermo Scientific)"	reverse phase						Mass spectrometry	positive	200-1000	Thermo Scientific Q Exactive HF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000660	nanoelectrospray	MS	http://purl.obolibrary.org/obo/MS_1000398	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	SA01_23	FILES/RAW_FILES/HOLOFOOD_capLC_POS_SA01_23.raw	Data transformation	SA01_23	FILES/DERIVED_FILES/HOLOFOOD_capLC_POS_SA01_23.mzML	Metabolite identification	SA01_23	m_MTBLS4381_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
SA01_24	Extraction			SA01_24	Chromatography	Thermo Scientific Dionex UltiMate 3000 RSLCnano System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000860		"Acclaim PepMap RSLC C18 (3 µm, 0.075 mm x 150 mm; Thermo Scientific)"	reverse phase						Mass spectrometry	positive	200-1000	Thermo Scientific Q Exactive HF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000660	nanoelectrospray	MS	http://purl.obolibrary.org/obo/MS_1000398	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	SA01_24	FILES/RAW_FILES/HOLOFOOD_capLC_POS_SA01_24.raw	Data transformation	SA01_24	FILES/DERIVED_FILES/HOLOFOOD_capLC_POS_SA01_24.mzML	Metabolite identification	SA01_24	m_MTBLS4381_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
SA01_25	Extraction			SA01_25	Chromatography	Thermo Scientific Dionex UltiMate 3000 RSLCnano System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000860		"Acclaim PepMap RSLC C18 (3 µm, 0.075 mm x 150 mm; Thermo Scientific)"	reverse phase						Mass spectrometry	positive	200-1000	Thermo Scientific Q Exactive HF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000660	nanoelectrospray	MS	http://purl.obolibrary.org/obo/MS_1000398	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	SA01_25	FILES/RAW_FILES/HOLOFOOD_capLC_POS_SA01_25.raw	Data transformation	SA01_25	FILES/DERIVED_FILES/HOLOFOOD_capLC_POS_SA01_25.mzML	Metabolite identification	SA01_25	m_MTBLS4381_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
SA01_26	Extraction			SA01_26	Chromatography	Thermo Scientific Dionex UltiMate 3000 RSLCnano System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000860		"Acclaim PepMap RSLC C18 (3 µm, 0.075 mm x 150 mm; Thermo Scientific)"	reverse phase						Mass spectrometry	positive	200-1000	Thermo Scientific Q Exactive HF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000660	nanoelectrospray	MS	http://purl.obolibrary.org/obo/MS_1000398	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	SA01_26	FILES/RAW_FILES/HOLOFOOD_capLC_POS_SA01_26.raw	Data transformation	SA01_26	FILES/DERIVED_FILES/HOLOFOOD_capLC_POS_SA01_26.mzML	Metabolite identification	SA01_26	m_MTBLS4381_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
SA01_27	Extraction			SA01_27	Chromatography	Thermo Scientific Dionex UltiMate 3000 RSLCnano System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000860		"Acclaim PepMap RSLC C18 (3 µm, 0.075 mm x 150 mm; Thermo Scientific)"	reverse phase						Mass spectrometry	positive	200-1000	Thermo Scientific Q Exactive HF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000660	nanoelectrospray	MS	http://purl.obolibrary.org/obo/MS_1000398	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	SA01_27	FILES/RAW_FILES/HOLOFOOD_capLC_POS_SA01_27.raw	Data transformation	SA01_27	FILES/DERIVED_FILES/HOLOFOOD_capLC_POS_SA01_27.mzML	Metabolite identification	SA01_27	m_MTBLS4381_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
SA01_28	Extraction			SA01_28	Chromatography	Thermo Scientific Dionex UltiMate 3000 RSLCnano System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000860		"Acclaim PepMap RSLC C18 (3 µm, 0.075 mm x 150 mm; Thermo Scientific)"	reverse phase						Mass spectrometry	positive	200-1000	Thermo Scientific Q Exactive HF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000660	nanoelectrospray	MS	http://purl.obolibrary.org/obo/MS_1000398	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	SA01_28	FILES/RAW_FILES/HOLOFOOD_capLC_POS_SA01_28.raw	Data transformation	SA01_28	FILES/DERIVED_FILES/HOLOFOOD_capLC_POS_SA01_28.mzML	Metabolite identification	SA01_28	m_MTBLS4381_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
SA01_29	Extraction			SA01_29	Chromatography	Thermo Scientific Dionex UltiMate 3000 RSLCnano System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000860		"Acclaim PepMap RSLC C18 (3 µm, 0.075 mm x 150 mm; Thermo Scientific)"	reverse phase						Mass spectrometry	positive	200-1000	Thermo Scientific Q Exactive HF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000660	nanoelectrospray	MS	http://purl.obolibrary.org/obo/MS_1000398	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	SA01_29	FILES/RAW_FILES/HOLOFOOD_capLC_POS_SA01_29.raw	Data transformation	SA01_29	FILES/DERIVED_FILES/HOLOFOOD_capLC_POS_SA01_29.mzML	Metabolite identification	SA01_29	m_MTBLS4381_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
SA01_30	Extraction			SA01_30	Chromatography	Thermo Scientific Dionex UltiMate 3000 RSLCnano System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000860		"Acclaim PepMap RSLC C18 (3 µm, 0.075 mm x 150 mm; Thermo Scientific)"	reverse phase						Mass spectrometry	positive	200-1000	Thermo Scientific Q Exactive HF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000660	nanoelectrospray	MS	http://purl.obolibrary.org/obo/MS_1000398	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	SA01_30	FILES/RAW_FILES/HOLOFOOD_capLC_POS_SA01_30.raw	Data transformation	SA01_30	FILES/DERIVED_FILES/HOLOFOOD_capLC_POS_SA01_30.mzML	Metabolite identification	SA01_30	m_MTBLS4381_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
SA02_01	Extraction			SA02_01	Chromatography	Thermo Scientific Dionex UltiMate 3000 RSLCnano System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000860		"Acclaim PepMap RSLC C18 (3 µm, 0.075 mm x 150 mm; Thermo Scientific)"	reverse phase						Mass spectrometry	positive	200-1000	Thermo Scientific Q Exactive HF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000660	nanoelectrospray	MS	http://purl.obolibrary.org/obo/MS_1000398	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	SA02_01	FILES/RAW_FILES/HOLOFOOD_capLC_POS_SA02_01.raw	Data transformation	SA02_01	FILES/DERIVED_FILES/HOLOFOOD_capLC_POS_SA02_01.mzML	Metabolite identification	SA02_01	m_MTBLS4381_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
SA02_02	Extraction			SA02_02	Chromatography	Thermo Scientific Dionex UltiMate 3000 RSLCnano System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000860		"Acclaim PepMap RSLC C18 (3 µm, 0.075 mm x 150 mm; Thermo Scientific)"	reverse phase						Mass spectrometry	positive	200-1000	Thermo Scientific Q Exactive HF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000660	nanoelectrospray	MS	http://purl.obolibrary.org/obo/MS_1000398	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	SA02_02	FILES/RAW_FILES/HOLOFOOD_capLC_POS_SA02_02.raw	Data transformation	SA02_02	FILES/DERIVED_FILES/HOLOFOOD_capLC_POS_SA02_02.mzML	Metabolite identification	SA02_02	m_MTBLS4381_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
SA02_03	Extraction			SA02_03	Chromatography	Thermo Scientific Dionex UltiMate 3000 RSLCnano System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000860		"Acclaim PepMap RSLC C18 (3 µm, 0.075 mm x 150 mm; Thermo Scientific)"	reverse phase						Mass spectrometry	positive	200-1000	Thermo Scientific Q Exactive HF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000660	nanoelectrospray	MS	http://purl.obolibrary.org/obo/MS_1000398	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	SA02_03	FILES/RAW_FILES/HOLOFOOD_capLC_POS_SA02_03.raw	Data transformation	SA02_03	FILES/DERIVED_FILES/HOLOFOOD_capLC_POS_SA02_03.mzML	Metabolite identification	SA02_03	m_MTBLS4381_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
SA02_04	Extraction			SA02_04	Chromatography	Thermo Scientific Dionex UltiMate 3000 RSLCnano System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000860		"Acclaim PepMap RSLC C18 (3 µm, 0.075 mm x 150 mm; Thermo Scientific)"	reverse phase						Mass spectrometry	positive	200-1000	Thermo Scientific Q Exactive HF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000660	nanoelectrospray	MS	http://purl.obolibrary.org/obo/MS_1000398	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	SA02_04	FILES/RAW_FILES/HOLOFOOD_capLC_POS_SA02_04.raw	Data transformation	SA02_04	FILES/DERIVED_FILES/HOLOFOOD_capLC_POS_SA02_04.mzML	Metabolite identification	SA02_04	m_MTBLS4381_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
SA02_05	Extraction			SA02_05	Chromatography	Thermo Scientific Dionex UltiMate 3000 RSLCnano System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000860		"Acclaim PepMap RSLC C18 (3 µm, 0.075 mm x 150 mm; Thermo Scientific)"	reverse phase						Mass spectrometry	positive	200-1000	Thermo Scientific Q Exactive HF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000660	nanoelectrospray	MS	http://purl.obolibrary.org/obo/MS_1000398	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	SA02_05	FILES/RAW_FILES/HOLOFOOD_capLC_POS_SA02_05.raw	Data transformation	SA02_05	FILES/DERIVED_FILES/HOLOFOOD_capLC_POS_SA02_05.mzML	Metabolite identification	SA02_05	m_MTBLS4381_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
