Source Name	Characteristics[specimen type]	Characteristics[barcode identifier]	Characteristics[internal_ID]	Characteristics[resolute_ID]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[cell line]	Term Source REF	Term Accession Number	Characteristics[qc element]	Protocol REF	Date	Sample Name	Characteristics[material type]	Term Source REF	Term Accession Number	Factor Value[cell seeding density]	Factor Value[replicate number]	Factor Value[extraction volume]	Unit
102906_J4	specimen	1024506508	102906.0	SM01ZM-8	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	JumpIn	cellosaurus		not applicable	sample collection		102906_J4	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	500000.0	1.0	1500.0	µl
102029	specimen	1024502724			Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606		cellosaurus		not applicable	sample collection		102029	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423				µl
102026	specimen	1024502694			Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606		cellosaurus		not applicable	sample collection		102026	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423				µl
102033	specimen	1024502762	102033.0	SM01Z6-1	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	LS180	cellosaurus	 https://web.expasy.org/cellosaurus/CVCL_0397	not applicable	sample collection		102033	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	250000.0	1.0	750.0	µl
102930_N1	specimen	1024506740	102930.0	SM020F-Q	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	1321N1 	cellosaurus	 https://web.expasy.org/cellosaurus/CVCL_0110	not applicable	sample collection		102930_N1	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	250000.0	1.0	1500.0	µl
102041	specimen	1024502845	102041.0	SM01ZF-6	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	LS180	cellosaurus	 https://web.expasy.org/cellosaurus/CVCL_0397	not applicable	sample collection		102041	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	1000000.0	3.0	750.0	µl
102048	specimen	1024502913	102048.0	SM01XS-T	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	HCT-116	cellosaurus	 https://web.expasy.org/cellosaurus/CVCL_0291	not applicable	sample collection		102048	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	1000000.0	1.0	750.0	µl
102936_N7	specimen	1024506803	102936.0	SM020P-K	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	1321N1 	cellosaurus	 https://web.expasy.org/cellosaurus/CVCL_0110	not applicable	sample collection		102936_N7	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	1000000.0	1.0	1500.0	µl
102937_N8	specimen	1024506818	102937.0	SM020R-8	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	1321N1 	cellosaurus	 https://web.expasy.org/cellosaurus/CVCL_0110	not applicable	sample collection		102937_N8	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	1000000.0	2.0	1500.0	µl
p180_QC3	positive control	1020164640			not applicable				cellosaurus		EDTA plasma	sample collection	2017-04-25	p180_QC3	not applicable						µl
