Parameter Value[Chromatography Instrument]	Parameter Value[Column model]	Parameter Value[Column type]	
Thermo Scientific Dionex UltiMate 3000 XRS System	"Ascentis Express C18 (2.7 µm, 2.1 mm x 100 mm; Sigma-Aldrich)"	reverse phase	
Thermo Scientific Dionex UltiMate HPLC system	"Ascentis Express C18 (2.7 µm, 2.1 mm x 150 mm; Sigma-Aldrich)"	reverse phase	
Thermo Scientific Dionex UltiMate LC system	"Ascentis Express C18 (2.7 µm, 2.1 mm x 150 mm; Supelco)"	reverse phase	
Thermo Scientific EASY-nLC System (UPLC)	"Atlantis T3 (5 µm, 4.6 mm x 150 mm; Waters)"	reverse phase	
Thermo Scientific EASY-nLC 1000 System (UPLC)	"Ascentis Express C8 (2.7 µm, 2.1 mm x 50 mm; Sigma-Aldrich)"	reverse phase	
Thermo Scientific EASY-nLC 1200 System (UPLC)	"Betasil C1 (5 µm, 2.1 mm x 50 mm; Thermo Scientific)"	reverse phase	
Thermo Scientific Surveyor HPLC system	"BETASIL Diol (5 µm, 2.1 mm x 150 mm; Thermo Scientific)"	normal phase	
Thermo Scientific Surveyor MS Pump Plus	"C18 (3 _m, 1 mm x 75 mm; ACE) "	reverse phase	
Thermo Scientific Vanquish UHPLC System	"C18 (3.5 µm, 2.1 mm x 150 mm; Agilent Technologies)"	reverse phase	
Waters 1525 Micro Binary HPLC Pump	"C18 100 Å (1.8 µm, 2.1 mm x 100 mm; Agilent Technologies)"	reverse phase	
Waters nanoACQUITY UPLC system	"C18-PFP (2 _m, 2.1 mm x 150 mm; ACE)"	reverse phase	
Waters ACQUITY UPLC H-Class System	"Carotenoid (C30) (3 µm, 2.1 mm x 250 mm; YMC)"	reverse phase	
Waters ACQUITY UPLC I-Class System	"Cogent Diamond Hydride (3 µm, 2.1 mm x 150 mm; MicroSolv Technologies)"	normal phase	
Waters ACQUITY UPLC M-Class System	"CORTECS UPLC C18 (1.6 µm, 2.1 mm x 100 mm; Waters)"	reverse phase	
Waters ACQUITY UPLC system	"CORTECS UPLC HILIC (1.6 µm, 2.1 mm x 100 mm; Waters)"	HILIC	
Waters ACQUITY UPLC system and PDA detector	"Discovery HS C18 (3 µm, 2.1 mm x 150 mm; Supelco)"	reverse phase	
Waters Alliance 2695 Separations Module (modified)	"Discovery HS F5 (3 µm, 2.1 mm x 150 mm; Thermo Scientific)"	reverse phase	
	"Gemini C18 110 Å (5 µm, 2 mm x 150 mm; Phenomenex)"	reverse phase	
	"Gemini NX-C18 (3 µm, 2 mm x 150 mm; Phenomenex)"	reverse phase	
	"Hypercarb Porous Graphitic Carbon (3 µm, 1 mm x 100 mm; Thermo Scientific)"	reverse phase	
	"Hypercarb Porous Graphitic Carbon (3 µm, 2 mm x 100 mm; Thermo Scientific)"	reverse phase	
	"Hypersil C1 (5 µm, 2.1 mm x 50 mm; Thermo Scientific)"	reverse phase	
	"Hypersil GOLD aQ (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)"	reverse phase	
	"Hypersil GOLD C18 (1.9 µm, 1 mm x 150 mm; Thermo Scientific)"	reverse phase	
	"Hypersil GOLD C18 (1.9 µm, 2.1 mm x 50 mm; Thermo Scientific)"	reverse phase	
	"Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)"	reverse phase	
	"Hypersil GOLD C18 (1.9 µm, 2.1 mm x 150 mm; Thermo Scientific)"	reverse phase	
	"Hypersil GOLD C18 (3 µm, 2.1 mm x 100 mm; Thermo Scientific)"	reverse phase	
	"iHILIC-Fusion HILIC (5 µm, 2.1 mm x 50 mm; Hilicon)"	HILIC	
	"Inertsil ODS-3 (3 µm, 4.6 mm x 150 mm; GL Sciences)"	reverse phase	
	"InfinityLab Poroshell 120 Phenyl-Hexyl (1.9 µm, 3 mm x 150 mm; Agilent Technologies)"	reverse phase	
	"Intensity Solo 2 C18 (1.7 µm, 2.1 mm x 100 mm; Bruker)"	reverse phase	
	"Jupiter C18 300 Å (5 µm, 2 mm x 250 mm; Phenomenex)"	reverse phase	
	"Kinetex C8 100 Å (1.7 µm, 2.1 mm x 100 mm; Phenomenex)"	reverse phase	
	"Kinetex C18 100 Å (1.7 µm, 2.1 mm x 100 mm; Phenomenex)"	reverse phase	
	"Kinetex C18 100 Å (2.6 µm, 2.1 mm x 100 mm; Phenomenex)"	reverse phase	
	"Kinetex C18 100 Å (2.6 µm, 2.1 mm x 150 mm; Phenomenex)"	reverse phase	
	"Kinetex C18 100 Å (2.6 µm, 3 mm x 150 mm; Phenomenex)"	reverse phase	
	"Kinetex C18 100 Å (3.5 µm, 2.1 mm x 150 mm; Phenomenex)"	reverse phase	
	"Kinetex C18 100 Å (5 µm, 2.1 mm x 150 mm; Phenomenex)"	reverse phase	
	"Kinetex EVO C18 100 Å (1.7 µm, 2.1 mm x 100 mm; Phenomenex)"	reverse phase	
	"Kinetex F5 100 Å (2.6 µm, 2.1 mm x 100 mm; Phenomenex)"	reverse phase	
	"Kinetex HILIC 100 Å (2.6 µm, 2.1 mm x 50 mm; Phenomenex)"	HILIC	
