Parameter Value[NMR tube type]	Parameter Value[Solvent]	Parameter Value[Instrument]	Parameter Value[NMR Probe]	Parameter Value[Pulse sequence name]	Parameter Value[Magnetic field strength]	Unit	Parameter Value[Magnetic field strength]	Unit
		Bruker AVANCE III HD 600 MHz spectrometer	5 mm CPTCI 1H/13C/31P Z-GRD cryoprobe	2D HSQC using PEP and adiabatic pulses for inversion and refocusing with gradients in back-inept and suppression of COSY type artefacts (hsqcetgpsisp2.3)				
		Bruker AVANCE III HD 700 MHz spectrometer	5 mm CPTCI 1H-13C/31P/D cryoprobe	2D Interleaved Ultrafast COSY (iufcosy)				
		Bruker AVANCE III HD 800 MHz spectrometer	5 mm CPTCI 1H-13C/31P/D Z-GRD cryoprobe	2D JRES with excitation sculpting & additional water suppression (jresesgp2)				
		Varian Mercury AS400 MHz spectrometer	5 mm CPTCI 1H/19F-13C/15N/D Z-GRD	2D JRES with homonuclear J-resolved 2D correlation (jresesgp)				
		Varian Unity Inova 400 MHz spectrometer	5 mm CPTCI 1H-31P/13C/D Z-GRD	"2D JRES with homonuclear J-resolved 2D correlation, presaturation during relaxation delay with gradients (jresgpprqf)"				
		Varian Unity Inova 500 MHz spectrometer	5 mm CPTCI 1H-31P/13C/D Z-GRD cryoprobe	2D TOCSY with phase sensitive water suppression using MLEV (mlevesgpph)				
		Varian Unity Inova 600 MHz spectrometer	5 mm CPTXI 1H-13C/15N/D Z-GRD	2D TOCSY with presaturation using MLEV (mlevphpr)				
		Varian VNMR 600 MHz spectrometer	5 mm CPTXO 13C/D-1H/15N Z-GRD	2D Zero-quantum-filtered total correlation spectra (zTOCSY-em-3)				
		Varian VNMRS 600 MHz spectrometer	5 mm CPQCI 1H/19F-13C/15N/D Z-GRD	M3S COSY				
		Varian VNMRS DirectDrive 600 MHz spectrometer	5 mm CPQCI 1H-31P/13C/15N/D Z-GRD					
			5 mm cryogenic					
			5 mm HCN triple resonance					
			5 mm HCN Z-gradient PFG RT					
			5 mm HRMAS BB/2H-1H MAS-GRD					
			5 mm HX					
			5 mm inverse					
			5 mm inverse 1H/13C/15N/D cryoprobe					
			5 mm PABBI 1H-BB/D Z-GRD					
			5 mm PABBI 1H/D-BB Z-GRD					
			5 mm PABBO BB-1H/D Z-GRD					
			5 mm PADUL 13C-1H/D Z-GRD					
			5 mm PATBO BB-1H/19F/D Z-GRD					
			5 mm PATXI 1H/D-13C/15N Z-GRD					
			5 mm PATXI 1H-13C/15N XYZ-GRD					
			5 mm PATXI 1H-13C/15N/D Z-GRD					
			5 mm QNP 1H/13C/15N/31P					
			5 mm QXI 1H/15N/13C/31P/D Z-GRD					
			5 mm TBI 1H-BB XYZ-GRD					
			5 mm TBO BB-1H/19F/D Z-GRD					
			5 mm Triple 1H-13C/15N/D					
			5 mm triple resonance cryoprobe					
			5 mm TXI					
			5 mm TXI 1H/13C/15N/D Z/GRD cryoprobe					
			5 mm TXI 1H/D-13C/15N XYZ-GRD					
			5 mm TXI ATMA					
			5 mm TXI D/1H-13C/15N Z-GRD					
			5 mm TXI HCN CryoProbe					
			5 mm Triple-resonance cryoprobe with z-gradients					
			5 mm Triple-resonance salt tolerant cold probe					
			5 mm 4-Nucleus (13C/31P-1H/19F) (Standard Probe)					
			"5 mm 1H{13C,15N} triple resonance PFG salt tolerant cold probe"					
			"5 mm 1H{13C,15N} tunable triple resonance PFG probe"					
			BBI					
			5 mm CPTCI 700S4 H&F/C/N-D-05 Z					
			5 mm AutoX DB					
