Source Name	Characteristics[barcode identifier]	Characteristics[material role]	Characteristics[chemical compound]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number	Protocol REF	Date	Sample Name	Material Type	
102036	1024502796	specimen	not applicable	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	sample collection		102036	specimen
102057	1024503001	specimen	not applicable	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	sample collection		102057	specimen
p180_QC1	1020164621	positive control	EDTA plasma	not applicable			not applicable			sample collection	2017-04-12	p180_QC1	positive control
102928_M8	1024506721	specimen	not applicable	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	sample collection		102928_M8	specimen
102050	1024502932	specimen	not applicable	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	sample collection		102050	specimen
102051	1024502947	specimen	not applicable	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	sample collection		102051	specimen
102904_J2	1024506482	specimen	not applicable	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	sample collection		102904_J2	specimen
PBS	11000002	negative control	water based zero samples	not applicable			not applicable			sample collection	2008-10-24	PBS	negative control
102918_S7	1024506629	specimen	not applicable	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	sample collection		102918_S7	specimen
102911_J9	1024506551	specimen	not applicable	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	sample collection		102911_J9	specimen
102939_TD000232_1	1024506856	specimen	not applicable	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	serum	UBERON	http://purl.obolibrary.org/obo/UBERON_0001977	sample collection		102939_TD000232_1	specimen
102042	1024502850	specimen	not applicable	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	sample collection		102042	specimen
102054	1024502971	specimen	not applicable	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	sample collection		102054	specimen
102027	1024502705	specimen	not applicable	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	sample collection		102027	specimen
102053	1024502966	specimen	not applicable	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	sample collection		102053	specimen
102935_N6	1024506792	specimen	not applicable	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	sample collection		102935_N6	specimen
102052	1024502951	specimen	not applicable	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	sample collection		102052	specimen
102056	1024502990	specimen	not applicable	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	sample collection		102056	specimen
102058	1024503016	specimen	not applicable	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	sample collection		102058	specimen
